"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"567","New World","Sep 28, 2021","$39.99","N/A (N/A/70%)","50,000,000 .. 100,000,000","30:27 (12:52)","Amazon Games","Amazon Games"
"9","ELDEN RING","Feb 24, 2022","$59.99","N/A (N/A/94%)","20,000,000 .. 50,000,000","06:07 (02:10)","FromSoftware Inc.","FromSoftware Inc., Bandai Namco Entertainment"
"71","Path of Exile","Oct 23, 2013","Free","N/A (N/A/86%)","20,000,000 .. 50,000,000","02:34 (01:54)","Grinding Gear Games","Grinding Gear Games"
"135","Terraria","May 16, 2011","$9.99","N/A (N/A/83%)","20,000,000 .. 50,000,000","14:23 (04:02)","Re-Logic","Re-Logic"
"270","PAYDAY 2","Aug 13, 2013","$9.99","N/A (N/A/79%)","20,000,000 .. 50,000,000","31:06 (07:58)","OVERKILL - a Starbreeze Studio.","Starbreeze Publishing AB"
"585","Warframe","Mar 25, 2013","Free","N/A (N/A/69%)","20,000,000 .. 50,000,000","14:51 (03:59)","Digital Extremes","Digital Extremes"
"586","Rust","Feb 8, 2018","$39.99","N/A (N/A/69%)","20,000,000 .. 50,000,000","20:41 (06:32)","Facepunch Studios","Facepunch Studios"
"3076","Lost Ark","Feb 11, 2022","Free","N/A (N/A)","20,000,000 .. 50,000,000","36:33 (20:40)","Smilegate RPG","Amazon Games"
"3079","Valheim","Feb 2, 2021","$19.99","N/A (N/A)","20,000,000 .. 50,000,000","09:50 (07:12)","Iron Gate AB","Coffee Stain Publishing"
"13","The Witcher 3: Wild Hunt","May 18, 2015","$7.99","N/A (N/A/93%)","10,000,000 .. 20,000,000","06:36 (01:46)","CD PROJEKT RED","CD PROJEKT RED"
"35","Borderlands 2","Sep 17, 2012","$19.99","N/A (N/A/89%)","10,000,000 .. 20,000,000","12:05 (16:33)","Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
"36","Stardew Valley","Feb 26, 2016","$14.99","N/A (N/A/89%)","10,000,000 .. 20,000,000","05:46 (00:58)","ConcernedApe","ConcernedApe"
"72","Cyberpunk 2077","Dec 9, 2020","$59.99","N/A (N/A/86%)","10,000,000 .. 20,000,000","12:31 (08:37)","CD PROJEKT RED","CD PROJEKT RED"
"568","ARK: Survival Evolved","Aug 27, 2017","$19.99","N/A (N/A/70%)","10,000,000 .. 20,000,000","29:21 (13:00)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard"
"719","Warface","Apr 12, 2012","Free","N/A (N/A/62%)","10,000,000 .. 20,000,000","00:40 (00:39)","MY.GAMES","MY.GAMES"
"2077","Trove","Jul 9, 2015","N/A","N/A (N/A)","10,000,000 .. 20,000,000","02:14 (02:53)","gamigo US Inc.","gamigo US Inc."
"2078","Robocraft","Aug 24, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Freejam","Freejam"
"3073","鬼谷八荒 Tale of Immortal","Jan 27, 2021","$19.99","N/A (N/A)","10,000,000 .. 20,000,000","08:00 (05:33)","鬼谷工作室","鬼谷工作室, Lightning Games"
"3078","7 Days to Die","Dec 13, 2013","$24.99","N/A (N/A)","10,000,000 .. 20,000,000","11:55 (06:14)","The Fun Pimps","The Fun Pimps Entertainment LLC"
"8","The Elder Scrolls V: Skyrim","Nov 10, 2011","$19.99","N/A (N/A/94%)","5,000,000 .. 10,000,000","08:20 (14:11)","Bethesda Game Studios","Bethesda Softworks"
"11","Divinity: Original Sin 2 - Definitive Edition","Sep 14, 2017","$44.99","N/A (N/A/93%)","5,000,000 .. 10,000,000","05:01 (05:09)","Larian Studios","Larian Studios"
"12","Hades","Sep 17, 2020","$12.49","N/A (N/A/93%)","5,000,000 .. 10,000,000","12:29 (07:03)","Supergiant Games","Supergiant Games"
"87","STAR WARS: The Old Republic","Dec 20, 2011","Free","N/A (N/A/85%)","5,000,000 .. 10,000,000","01:09 (01:17)","BioWare","Electronic Arts"
"114","Fallout 4","Nov 9, 2015","$19.99","N/A (N/A/84%)","5,000,000 .. 10,000,000","04:54 (03:57)","Bethesda Game Studios","Bethesda Softworks"
"134","Grim Dawn","Feb 25, 2016","$24.99","N/A (N/A/83%)","5,000,000 .. 10,000,000","11:55 (13:48)","Crate Entertainment","Crate Entertainment"
"247","The Elder Scrolls Online","May 22, 2017","$19.99","N/A (N/A/80%)","5,000,000 .. 10,000,000","11:38 (03:54)","ZeniMax Online Studios","Bethesda Softworks"
"378","Mount & Blade II: Bannerlord","Oct 25, 2022","$49.99","N/A (N/A/76%)","5,000,000 .. 10,000,000","05:57 (03:58)","TaleWorlds Entertainment","TaleWorlds Entertainment"
"449","Neverwinter","Dec 5, 2013","Free","N/A (N/A/74%)","5,000,000 .. 10,000,000","00:32 (00:10)","Cryptic Studios","Gearbox Publishing"
"450","The Elder Scrolls V: Skyrim Special Edition","Oct 27, 2016","$39.99","N/A (N/A/74%)","5,000,000 .. 10,000,000","13:10 (05:58)","Bethesda Game Studios","Bethesda Softworks"
"478","Black Desert","May 24, 2017","$9.99","N/A (N/A/73%)","5,000,000 .. 10,000,000","14:34 (14:36)","Pearl Abyss","Pearl Abyss"
"703","Fallout Shelter","Mar 29, 2017","Free","N/A (N/A/63%)","5,000,000 .. 10,000,000","01:36 (00:34)","Bethesda Game Studios","Bethesda Softworks"
"2071","Infestation: The New Z","Nov 22, 2016","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Fredaikis AB","OP Productions LLC"
"2075","Clicker Heroes","May 13, 2015","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:25 (00:13)","Playsaurus","Playsaurus"
"2076","Minion Masters","May 24, 2019","Free","N/A (N/A)","5,000,000 .. 10,000,000","07:43 (07:43)","BetaDwarf","BetaDwarf"
"2770","Braveland","Mar 17, 2014","$1.19","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Tortuga Team","Tortuga Team"
"3064","Tom Clancy’s The Division","Mar 7, 2016","$9.89","N/A (N/A)","5,000,000 .. 10,000,000","13:55 (17:37)","Massive Entertainment","Ubisoft"
"3072","Castle Crashers","Sep 26, 2012","$14.99","N/A (N/A)","5,000,000 .. 10,000,000","03:51 (03:38)","The Behemoth","The Behemoth"
"3075","Project Zomboid","Nov 8, 2013","$19.99","N/A (N/A)","5,000,000 .. 10,000,000","12:43 (08:12)","The Indie Stone","The Indie Stone"
"2","BioShock","Aug 21, 2007","$19.99","N/A (N/A/96%)","2,000,000 .. 5,000,000","00:00 (00:00)","2K Boston, 2K Australia","2K"
"10","God of War","Jan 14, 2022","$49.99","N/A (N/A/93%)","2,000,000 .. 5,000,000","11:32 (12:26)","Santa Monica Studio","PlayStation PC LLC"
"15","Undertale","Sep 15, 2015","$9.99","N/A (N/A/92%)","2,000,000 .. 5,000,000","00:27 (00:23)","tobyfox","tobyfox"
"20","Deus Ex: Human Revolution - Director's Cut","Oct 25, 2013","$19.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","05:59 (01:59)","Eidos Montreal","Square Enix"
"21","Fallout 3: Game of the Year Edition","Oct 13, 2009","$19.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","01:23 (01:43)","Bethesda Game Studios","Bethesda Softworks"
