"DateTime","Games"
"2006-07-01 00:00:00",4
"2006-08-01 00:00:00",0
"2006-09-01 00:00:00",0
"2006-10-01 00:00:00",3
"2006-11-01 00:00:00",2
"2006-12-01 00:00:00",0
"2007-01-01 00:00:00",1
"2007-02-01 00:00:00",1
"2007-03-01 00:00:00",5
"2007-04-01 00:00:00",1
"2007-05-01 00:00:00",0
"2007-06-01 00:00:00",1
"2007-07-01 00:00:00",0
"2007-08-01 00:00:00",4
"2007-09-01 00:00:00",0
"2007-10-01 00:00:00",2
"2007-11-01 00:00:00",1
"2007-12-01 00:00:00",0
"2008-01-01 00:00:00",2
"2008-02-01 00:00:00",2
"2008-03-01 00:00:00",0
"2008-04-01 00:00:00",1
"2008-05-01 00:00:00",1
"2008-06-01 00:00:00",0
"2008-07-01 00:00:00",2
"2008-08-01 00:00:00",1
"2008-09-01 00:00:00",3
"2008-10-01 00:00:00",4
"2008-11-01 00:00:00",4
"2008-12-01 00:00:00",2
"2009-01-01 00:00:00",1
"2009-02-01 00:00:00",4
"2009-03-01 00:00:00",3
"2009-04-01 00:00:00",5
"2009-05-01 00:00:00",7
"2009-06-01 00:00:00",6
"2009-07-01 00:00:00",1
"2009-08-01 00:00:00",6
"2009-09-01 00:00:00",4
"2009-10-01 00:00:00",3
"2009-11-01 00:00:00",3
"2009-12-01 00:00:00",6
"2010-01-01 00:00:00",1
"2010-02-01 00:00:00",3
"2010-03-01 00:00:00",5
"2010-04-01 00:00:00",2
"2010-05-01 00:00:00",0
"2010-06-01 00:00:00",4
"2010-07-01 00:00:00",4
"2010-08-01 00:00:00",1
"2010-09-01 00:00:00",7
"2010-10-01 00:00:00",8
"2010-11-01 00:00:00",0
"2010-12-01 00:00:00",1
"2011-01-01 00:00:00",1
"2011-02-01 00:00:00",3
"2011-03-01 00:00:00",1
"2011-04-01 00:00:00",1
"2011-05-01 00:00:00",5
"2011-06-01 00:00:00",5
"2011-07-01 00:00:00",7
"2011-08-01 00:00:00",8
"2011-09-01 00:00:00",4
"2011-10-01 00:00:00",10
"2011-11-01 00:00:00",5
"2011-12-01 00:00:00",3
"2012-01-01 00:00:00",3
"2012-02-01 00:00:00",5
"2012-03-01 00:00:00",1
"2012-04-01 00:00:00",8
"2012-05-01 00:00:00",7
"2012-06-01 00:00:00",9
"2012-07-01 00:00:00",4
"2012-08-01 00:00:00",4
"2012-09-01 00:00:00",5
"2012-10-01 00:00:00",13
"2012-11-01 00:00:00",3
"2012-12-01 00:00:00",3
"2013-01-01 00:00:00",1
"2013-02-01 00:00:00",4
"2013-03-01 00:00:00",6
"2013-04-01 00:00:00",7
